seri;model;titles;year;km;color;prices;date;location
911;Turbo S;''NOVA MOTORS'' 2020 PORSCHE 911 TURBO S / FULL;2020;10.000;Füme;14.000.000 TL;"17 Aralık
2022";"İstanbul
Beşiktaş"
Taycan;4S;VRD AUTO HATASIZ BOYASIZ 2021 TAYCAN 4S;2021;20.149;Siyah;5.500.000 TL;"17 Aralık
2022";"İstanbul
Kadıköy"
Taycan;4S Performance Plus;2022 PORSCHE TAYCAN 4S PERFORMANCE PLUS BAYİ ÇIKIŞLI;2020;6.100;Siyah;5.900.000 TL;"17 Aralık
2022";"İstanbul
Sancaktepe"
718;Cayman;MRG MOTOR'S DAN PORSCHE CAYMAN 718 BAYİİ HATASIZ;2017;43.850;Beyaz;2.899.000 TL;"17 Aralık
2022";"İzmir
Konak"
Boxster;Boxster;2007 DOĞUŞ ÇIKIŞLI CHRONO BOSE ISITMA SPOR EGZOZ LED SMOKE STOP;2007;83.000;Kırmızı;1.425.000 TL;"17 Aralık
2022";"İstanbul
Bağcılar"
911;Carrera 4;NASYONEL BAYİ CABRIO 14YÖN SPOR KOLTUK CHRONO 2YIL DOĞUŞ GARANTİ;2015;32.438;Siyah;6.750.000 TL;"17 Aralık
2022";"İstanbul
Beşiktaş"
Panamera;Panamera Diesel;2012 182.000KM'DE ÖZEL RENK PANEMERA DİESEL;2012;182.000;Mavi;1.975.000 TL;"17 Aralık
2022";"İstanbul
Üsküdar"
911;Carrera 4S;GALLERİA-2020 PORSCHE CARRERA 4S CABRİO-SPOR EGZOZ-SOĞUTMA-PDCC;2020;11.698;Beyaz;12.500.000 TL;"17 Aralık
2022";"İstanbul
Beşiktaş"
Cayman;Cayman;SAHİBİNDEN 2011 PORSCHE CAYMAN 2.9 265 HP PDK BEYAZ - BEJ TEMİZ;2011;86.000;Beyaz;1.750.000 TL;"17 Aralık
2022";"Ankara
Yenimahalle"
Taycan;Turbo S;YENİKÖY MOTORS İZMİR-2020 PORSCHE TAYCAN TURBO S - BUR - DISTRNC;2020;7.750;Siyah;6.725.000 TL;"17 Aralık
2022";"İzmir
Bayraklı"
